"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"D:\FAV\ing\1\2\VSS\kiv_vss_semwork\examples\virus3.nlogox"
"resources_grid_auto"
"04/13/2026 13:22:38:390 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-32","32","-32","32"
"[run number]","num-people","standard-speed","incubation-days","init-infected","transmission-prob","fatality-rate","mean-illness-duration","healthcare-capacity","overload-multiplier","resource-stock","resource-regeneration","treatment-cost","resource-penalty","[step]","m_final_susceptible","m_final_exposed","m_final_infected","m_final_recovered","m_ever_infected","m_ticks","m_deaths","m_final_resources"
"55","500","2","5","1","60","1.8","14","140","2","2600","2","24","1.8","8760","0","41","128","198","500","8760","133","12"
"56","500","2","5","1","60","1.8","14","140","2","2600","2","24","1.8","8760","0","40","115","198","500","8760","147","6"
"54","500","2","5","1","60","1.8","14","140","2","2600","2","24","1.8","8760","0","43","121","196","500","8760","140","22"
"57","500","2","5","1","60","1.8","14","140","2","2600","2","24","1.8","8760","0","43","126","196","500","8760","135","18"
"58","500","2","5","1","60","1.8","14","140","2","2600","2","24","1.8","8760","0","40","133","184","500","8760","143","44"
"59","500","2","5","1","60","1.8","14","140","2","2600","2","24","1.8","8760","0","56","124","182","500","8760","138","20"
"60","500","2","5","1","60","1.8","14","140","2","2600","2","24","1.8","8760","0","38","116","200","500","8760","146","30"
"61","500","2","5","1","60","1.8","14","140","2","2600","20","6","1.8","8760","0","52","123","222","500","8760","103","2600"
"62","500","2","5","1","60","1.8","14","140","2","2600","20","6","1.8","8760","0","38","139","205","500","8760","118","2594"
"63","500","2","5","1","60","1.8","14","140","2","2600","20","6","1.8","8760","0","46","134","207","500","8760","113","2600"
"64","500","2","5","1","60","1.8","14","140","2","2600","20","6","1.8","8760","0","39","131","219","500","8760","111","2600"
"65","500","2","5","1","60","1.8","14","140","2","2600","20","6","1.8","8760","0","48","125","218","500","8760","109","2600"
"67","500","2","5","1","60","1.8","14","140","2","2600","20","6","1.8","8760","0","46","124","229","500","8760","101","2600"
"68","500","2","5","1","60","1.8","14","140","2","2600","20","6","1.8","8760","0","37","139","218","500","8760","106","2600"
"66","500","2","5","1","60","1.8","14","140","2","2600","20","6","1.8","8760","0","44","118","236","500","8760","102","2600"
"70","500","2","5","1","60","1.8","14","140","2","2600","20","6","1.8","8760","0","53","118","222","500","8760","107","2600"
"69","500","2","5","1","60","1.8","14","140","2","2600","20","6","1.8","8760","0","42","127","211","500","8760","120","2600"
"71","500","2","5","1","60","1.8","14","140","2","2600","20","24","1.8","8760","0","41","123","238","500","8760","98","2548"
"72","500","2","5","1","60","1.8","14","140","2","2600","20","24","1.8","8760","0","37","135","224","500","8760","104","2564"
"73","500","2","5","1","60","1.8","14","140","2","2600","20","24","1.8","8760","0","32","103","251","500","8760","114","2568"
"74","500","2","5","1","60","1.8","14","140","2","2600","20","24","1.8","8760","0","48","121","222","500","8760","109","2548"
"75","500","2","5","1","60","1.8","14","140","2","2600","20","24","1.8","8760","0","41","136","223","500","8760","100","2600"
"76","500","2","5","1","60","1.8","14","140","2","2600","20","24","1.8","8760","0","39","135","226","500","8760","100","2600"
"78","500","2","5","1","60","1.8","14","140","2","2600","20","24","1.8","8760","0","46","106","232","500","8760","116","2548"
"77","500","2","5","1","60","1.8","14","140","2","2600","20","24","1.8","8760","0","41","127","227","500","8760","105","2600"
"79","500","2","5","1","60","1.8","14","140","2","2600","20","24","1.8","8760","0","43","133","220","500","8760","104","2544"
"80","500","2","5","1","60","1.8","14","140","2","2600","20","24","1.8","8760","0","52","132","219","500","8760","97","2544"
