"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"D:\FAV\ing\1\2\VSS\kiv_vss_semwork\examples\virus4.nlogox"
"strategy_grid_auto"
"04/13/2026 13:23:11:545 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-32","32","-32","32"
"[run number]","num-people","standard-speed","incubation-days","init-infected","transmission-prob","fatality-rate","mean-illness-duration","healthcare-capacity","overload-multiplier","resource-stock","resource-regeneration","treatment-cost","resource-penalty","strategy-mode","high-risk-share","vaccination-rate","[step]","m_final_susceptible","m_final_exposed","m_final_infected","m_final_recovered","m_ever_infected","m_ticks","m_deaths","m_final_resources"
"46","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","1","10","20","8760","0","36","107","262","500","8760","95","1396"
"48","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","1","10","20","8760","0","37","113","236","500","8760","114","1400"
"50","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","1","10","20","8760","0","45","90","275","500","8760","90","1400"
"49","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","1","10","20","8760","0","37","102","253","500","8760","108","1400"
"51","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","1","10","80","8760","0","23","78","380","500","8760","19","1400"
"52","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","1","10","80","8760","0","30","82","367","500","8760","21","1400"
"53","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","1","10","80","8760","0","27","84","368","500","8760","21","1400"
"55","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","1","10","80","8760","0","35","100","340","500","8760","25","1400"
"54","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","1","10","80","8760","0","23","80","370","500","8760","27","1400"
"56","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","1","10","80","8760","0","29","93","360","500","8760","18","1400"
"58","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","1","10","80","8760","0","26","83","371","500","8760","20","1400"
"57","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","1","10","80","8760","0","30","99","352","500","8760","19","1400"
"59","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","1","10","80","8760","0","30","77","371","500","8760","22","1400"
"61","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","1","35","20","8760","0","34","109","257","500","8760","100","1400"
"62","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","1","35","20","8760","0","28","99","276","500","8760","97","1400"
"60","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","1","10","80","8760","0","23","85","378","500","8760","14","1396"
"63","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","1","35","20","8760","0","36","137","239","500","8760","88","1400"
"64","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","1","35","20","8760","0","42","146","223","500","8760","89","1388"
"65","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","1","35","20","8760","0","47","100","259","500","8760","94","1400"
"66","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","1","35","20","8760","0","47","120","242","500","8760","91","1400"
"68","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","1","35","20","8760","0","36","116","253","500","8760","95","1384"
"67","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","1","35","20","8760","0","42","106","255","500","8760","97","1388"
"69","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","1","35","20","8760","0","42","99","264","500","8760","95","1388"
"70","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","1","35","20","8760","0","27","116","267","500","8760","90","1400"
"72","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","1","35","80","8760","0","24","87","363","500","8760","26","1400"
"71","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","1","35","80","8760","0","32","94","358","500","8760","16","1400"
"73","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","1","35","80","8760","0","25","79","385","500","8760","11","1400"
"74","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","1","35","80","8760","0","34","77","369","500","8760","20","1400"
"75","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","1","35","80","8760","0","22","76","377","500","8760","25","1400"
"76","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","1","35","80","8760","0","21","66","385","500","8760","28","1400"
"78","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","1","35","80","8760","0","25","91","361","500","8760","23","1384"
"77","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","1","35","80","8760","0","32","61","391","500","8760","16","1400"
"79","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","1","35","80","8760","0","35","76","367","500","8760","22","1400"
"80","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","1","35","80","8760","0","33","79","361","500","8760","27","1400"
"81","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","2","10","20","8760","0","46","120","264","500","8760","70","1396"
"82","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","2","10","20","8760","0","36","116","270","500","8760","78","1400"
"83","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","2","10","20","8760","0","47","136","250","500","8760","67","1396"
"84","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","2","10","20","8760","0","36","110","274","500","8760","80","1396"
"85","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","2","10","20","8760","0","53","108","257","500","8760","82","1400"
"86","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","2","10","20","8760","0","48","135","246","500","8760","71","1400"
"87","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","2","10","20","8760","0","34","119","273","500","8760","74","1388"
"88","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","2","10","20","8760","0","44","119","248","500","8760","89","1392"
"89","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","2","10","20","8760","0","41","115","259","500","8760","85","1380"
"91","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","2","10","80","8760","0","32","101","353","500","8760","14","1400"
"90","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","2","10","20","8760","0","50","112","270","500","8760","68","1400"
"92","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","2","10","80","8760","0","20","74","380","500","8760","26","1400"
"93","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","2","10","80","8760","0","25","73","386","500","8760","16","1400"
"96","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","2","10","80","8760","0","28","72","375","500","8760","25","1396"
"94","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","2","10","80","8760","0","22","76","388","500","8760","14","1400"
"95","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","2","10","80","8760","0","23","80","378","500","8760","19","1400"
"97","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","2","10","80","8760","0","22","76","384","500","8760","18","1400"
"98","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","2","10","80","8760","0","27","78","382","500","8760","13","1400"
"99","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","2","10","80","8760","0","34","79","376","500","8760","11","1400"
"100","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","2","10","80","8760","0","31","81","372","500","8760","16","1400"
"101","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","2","35","20","8760","0","38","136","252","500","8760","74","1400"
"103","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","2","35","20","8760","0","42","133","250","500","8760","75","1396"
"102","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","2","35","20","8760","0","49","125","253","500","8760","73","1400"
"104","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","2","35","20","8760","0","40","111","269","500","8760","80","1400"
"105","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","2","35","20","8760","0","34","116","266","500","8760","84","1400"
"106","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","2","35","20","8760","0","34","114","275","500","8760","77","1400"
"107","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","2","35","20","8760","0","54","128","245","500","8760","73","1392"
"108","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","2","35","20","8760","0","45","105","261","500","8760","89","1396"
"109","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","2","35","20","8760","0","48","104","272","500","8760","76","1396"
"110","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","2","35","20","8760","0","46","129","244","500","8760","81","1400"
"112","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","2","35","80","8760","0","39","94","355","500","8760","12","1400"
"111","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","2","35","80","8760","0","23","61","405","500","8760","11","1400"
"113","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","2","35","80","8760","0","21","86","380","500","8760","13","1400"
"114","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","2","35","80","8760","0","32","79","376","500","8760","13","1400"
"115","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","2","35","80","8760","0","25","81","377","500","8760","17","1384"
"116","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","2","35","80","8760","0","32","87","365","500","8760","16","1388"
"118","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","2","35","80","8760","0","28","88","369","500","8760","15","1400"
"117","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","2","35","80","8760","0","18","58","410","500","8760","14","1396"
"119","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","2","35","80","8760","0","19","75","392","500","8760","14","1400"
"120","500","2","5","1","60","1.8","14","140","2","1400","8","12","1.6","2","35","80","8760","0","21","77","384","500","8760","18","1400"
